id,x0,x1,x2,fitness2.5,fitness1,fitness1.5,fitness0.5,fitness2,fitness3.5,fitness3,fitness5,fitness5.5,fitness4,fitness6.5,fitness7,fitness8,fitness9,fitness10,fitness8.5,fitness7.5,fitness6,fitness9.5,fitness4.5
34794,4.08741,8.38623,7.67979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.818,NA,NA,NA,NA,NA,NA,NA,NA
34977,2.26108,7.69238,8.5292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.537,NA,NA,NA,NA,NA,NA,NA,NA,NA
35013,2.2698,8.41246,6.77542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.611,NA,NA,NA,NA,NA,NA,NA,NA
35241,2.93536,7.66817,6.06157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.068,NA,NA,NA
35557,1.57486,6.84573,7.60153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.286,NA,NA,NA,NA,NA,NA,NA,NA
35704,1.86047,6.42552,7.15845,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.352,NA,NA,NA,NA,NA,NA,NA
35978,3.37927,7.49314,6.59795,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.37,NA,NA,NA,NA,NA,NA,NA
36110,3.64744,7.46309,7.3698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.789,NA,NA,NA
36357,4.23641,7.96192,8.07598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.919,NA,NA,NA
36401,6.3619,7.80808,6.79122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.414,NA,NA,NA,NA
36712,6.28938,9.01172,7.1164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.146,NA,NA,NA,NA
36928,7.02949,7.1258,8.34296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.753,NA,NA,NA,NA,NA,NA,NA
37064,7.86432,8.13149,8.60692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.804,NA,NA,NA
37389,7.8034,7.10128,7.60648,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.914,NA,NA,NA,NA,NA,NA,NA
37441,6.22953,8.60249,8.02554,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.048,NA
37640,6.39976,9.30497,7.26239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.233,NA,NA,NA,NA
37804,8.97063,9.05946,7.86093,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.167,NA
38193,7.14943,8.35756,7.98962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.383,NA,NA,NA,NA,NA
38243,7.63975,9.09091,8.1747,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.476,NA,NA,NA,NA,NA,NA
38422,7.57114,9.6984,7.53361,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,NA,NA,NA,NA
38770,7.53197,10.2114,6.02821,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.393,NA,NA,NA,NA,NA
38883,8.14281,9.59387,6.77603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.126,NA,NA,NA,NA,NA,NA
39192,7.7199,9.37501,6.24898,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.122,NA,NA,NA,NA
39360,7.34914,9.33952,4.24092,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.136,NA,NA,NA,NA,NA
39422,7.96906,9.6308,4.59657,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.364,NA,NA,NA,NA
39746,6.85914,8.5854,4.55942,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.542,NA,NA,NA,NA,NA,NA,NA
39855,7.13951,8.41137,4.13249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.803,NA,NA,NA,NA,NA,NA,NA
40164,6.53812,8.87302,5.86183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.178,NA,NA,NA,NA,NA,NA
40353,6.3486,8.08295,5.80352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.039,NA,NA,NA,NA,NA,NA,NA,NA
40459,6.01425,8.10242,7.09378,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.414,NA,NA,NA
40799,7.17115,7.72808,5.95895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.426,NA,NA,NA,NA,NA,NA,NA
40927,8.25544,8.95186,7.9804,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.69,NA,NA,NA,NA,NA,NA,NA
41113,8.00174,7.95926,8.73191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.413,NA,NA
41380,8.31764,7.30275,7.85571,NA,NA,NA,NA,NA,NA,NA,NA,0.391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41569,7.48368,7.22855,6.94305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.326,NA,NA
41724,7.03766,6.73927,8.2724,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.182,NA,NA
41813,7.70793,7.33355,8.63179,NA,NA,NA,NA,NA,NA,NA,NA,0.372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42095,8.88883,8.42445,9.4142,NA,NA,NA,NA,NA,NA,NA,NA,-0.147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42271,8.61543,8.41655,8.21386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.405,NA,NA,NA,NA,NA,NA,NA,NA,NA
42455,8.37978,8.29515,8.3862,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.296,NA,NA
42769,6.83098,8.08105,8.74714,NA,NA,NA,NA,NA,NA,NA,NA,0.141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42834,6.43885,8.69135,8.85443,NA,NA,NA,NA,NA,NA,NA,NA,-0.169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43119,7.76347,7.66485,7.83663,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.615,NA,NA
43214,7.92645,7.91822,7.98998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.932,NA,NA,NA
43465,7.49096,8.6248,7.18122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.67,NA,NA,NA,NA,NA,NA,NA,NA
43622,7.05271,10.1462,7.94673,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.375,NA,NA,NA
43842,7.87318,10.1663,7.81773,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.378,NA,NA,NA,NA
44199,8.74279,8.89471,7.16808,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.496,NA,NA,NA,NA,NA,NA,NA
44328,9.93282,9.47925,7.12247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.088,NA,NA,NA,NA,NA,NA,NA
44496,8.19753,9.10532,7.92378,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.668,NA,NA,NA,NA,NA,NA,NA
44711,8.27785,8.76827,8.15657,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.658,NA,NA,NA,NA
44902,8.39273,8.36182,7.3313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.792,NA,NA,NA
45013,8.1373,9.28925,9.34647,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,NA,NA,NA
45356,8.14998,9.25458,7.25107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.378,NA,NA,NA,NA,NA,NA,NA,NA,NA
45565,8.46062,7.93325,7.7104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.878,NA,NA,NA
45692,8.06094,7.38924,7.74695,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.754,NA,NA,NA,NA,NA,NA,NA,NA,NA
45996,6.9404,7.17352,8.12782,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.652,NA,NA,NA,NA,NA,NA,NA,NA
46051,8.45841,7.11409,6.9544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.685,NA,NA,NA,NA,NA,NA,NA
46327,8.85959,7.11613,6.80538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.526,NA,NA,NA,NA,NA,NA,NA
46484,8.56851,7.36177,6.32459,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.261,NA,NA,NA,NA,NA,NA,NA,NA,NA
46608,7.81376,8.26458,6.96223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.655,NA,NA,NA,NA,NA,NA,NA,NA
46982,8.62561,8.39058,7.77087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.583,NA,NA,NA,NA,NA,NA,NA,NA
47187,8.78284,8.78425,8.32274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.559,NA,NA,NA
47260,9.16385,7.51334,9.16216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.399,NA,NA,NA
47591,7.4586,7.39221,8.42283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.857,NA,NA,NA,NA,NA,NA,NA
47757,6.38898,7.80367,8.38747,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.576,NA,NA,NA,NA,NA,NA,NA
47884,7.01866,9.27722,7.54628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.464,NA,NA,NA,NA
48056,8.26326,7.75629,7.80384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.915,NA,NA,NA
48201,9.63099,9.44269,8.3951,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.133,NA,NA,NA
48581,9.87117,7.77833,8.01941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.093,NA,NA
48616,9.84122,6.96565,9.64364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.035,NA,NA,NA
48953,8.71027,7.62183,8.7419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.585,NA,NA,NA,NA,NA,NA,NA,NA
49161,10.0739,8.6458,9.39639,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.015,NA,NA,NA,NA,NA,NA,NA
49312,8.48008,7.27947,9.60834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.306,NA,NA,NA,NA
49425,8.38885,6.97049,8.68881,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.383,NA,NA,NA,NA,NA,NA
49685,7.16631,7.53016,6.58664,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.218,NA,NA,NA,NA,NA
49945,7.60968,8.23102,5.29523,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.287,NA,NA,NA,NA,NA,NA
50088,8.01741,8.70271,6.34689,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.327,NA,NA,NA,NA
50305,8.13416,9.85401,7.05475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.212,NA,NA,NA,NA,NA,NA
50545,8.04705,8.43272,7.6449,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.409,NA,NA,NA,NA,NA
50622,8.30389,4.95687,7.01826,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.41,NA,NA,NA,NA
50866,9.00332,3.95697,6.69935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.468,NA,NA,NA,NA
51140,7.81628,3.39549,6.30878,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.297,NA,NA,NA
51340,8.0713,4.12659,5.68423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.245,NA,NA,NA,NA,NA,NA,NA,NA,NA
51514,8.32858,4.65212,6.06177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.004,NA,NA,NA,NA,NA,NA,NA,NA,NA
51689,7.89562,6.39504,6.97119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.554,NA,NA,NA
51984,8.08183,5.98193,7.29201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.248,NA,NA,NA,NA,NA,NA,NA,NA,NA
52023,7.056,4.79383,8.79385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.433,NA,NA,NA,NA,NA,NA,NA,NA
52242,7.0043,5.40665,8.00244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.37,NA,NA,NA
52405,7.03312,6.59324,9.67675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.039,NA,NA,NA,NA,NA,NA,NA,NA,NA
52709,7.59738,7.62938,9.00929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.652,NA,NA,NA,NA,NA,NA,NA,NA
52846,7.53456,8.4034,9.68925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.455,NA,NA,NA
53054,7.15783,9.37151,8.72026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.416,NA,NA,NA
53265,7.51248,8.50173,9.49438,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.459,NA,NA,NA,NA,NA,NA,NA
53581,7.80997,8.04503,9.52407,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.559,NA,NA,NA,NA,NA,NA,NA
53724,8.05816,7.96449,10.2049,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.437,NA,NA,NA,NA,NA,NA,NA
53986,7.05063,7.98108,9.12886,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.603,NA,NA,NA,NA,NA,NA,NA
54069,6.89894,7.51499,9.44977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.322,NA,NA,NA,NA
54261,7.13017,7.18659,9.11038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.32,NA,NA,NA,NA,NA,NA
54522,8.17916,7.49372,8.93559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.332,NA
54665,7.66137,6.79051,9.46166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.385,NA,NA,NA,NA
54870,7.73782,6.76661,8.81968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.392,NA,NA,NA,NA,NA,NA
55060,6.49155,7.10725,9.19732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.108,NA,NA,NA,NA,NA,NA
55277,6.95235,6.64927,8.39498,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.49,NA,NA,NA,NA
55488,6.98876,7.17603,7.24051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.412,NA
55691,7.35246,6.76947,8.05134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.563,NA,NA,NA,NA,NA,NA
55974,6.45822,6.53655,7.62565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.042,NA
56186,7.08776,5.79016,6.6334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.051,NA,NA,NA,NA,NA,NA
56361,6.89362,7.1558,7.38507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.754,NA,NA,NA
56496,5.67974,7.42963,6.56068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.225,NA,NA,NA
56613,6.70074,6.75084,7.53455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.484,NA,NA,NA,NA
56859,6.41131,6.36183,7.56941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.256,NA,NA,NA,NA
57066,7.09603,7.77172,8.77592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.246,NA,NA,NA,NA,NA
57364,7.72127,7.83641,8.15532,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.765,NA,NA,NA,NA,NA,NA
57443,7.3904,7.14319,8.13648,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.858,NA,NA,NA,NA,NA,NA,NA
57667,7.76764,8.44727,8.50396,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.71,NA,NA,NA,NA
57856,7.50695,8.59022,7.70242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.512,NA
58052,8.77237,8.51978,8.25556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.388,NA,NA,NA,NA,NA,NA
58364,7.7126,7.96723,8.19504,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.535,NA
58418,7.86465,7.50773,8.32866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.895,NA,NA,NA,NA,NA,NA,NA
58666,7.66373,7.24846,8.27377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.893,NA,NA,NA,NA,NA,NA,NA
58818,7.8866,9.29012,8.47494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.394,NA,NA,NA,NA,NA,NA,NA,NA
59120,8.30535,7.93856,7.9131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.847,NA,NA,NA,NA,NA,NA,NA,NA
59280,8.10735,7.54012,7.47387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.845,NA,NA,NA,NA
59505,8.17916,9.03012,8.02233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.292,NA
59719,8.44802,8.7079,7.39374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.625,NA,NA,NA,NA
59840,7.74077,7.67671,6.38361,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.673,NA,NA,NA
60154,8.46288,8.35636,6.23696,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.156,NA,NA,NA,NA,NA,NA
60343,8.26448,9.70164,7.76849,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.443,NA,NA,NA,NA
60446,6.84386,9.80618,6.8005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.111,NA,NA,NA,NA
60770,8.11761,8.88771,7.90667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.725,NA,NA,NA,NA,NA,NA,NA
60869,8.416,9.6733,7.24562,NA,NA,NA,NA,NA,NA,NA,0.028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61027,8.62147,7.8381,7.74393,NA,NA,NA,NA,NA,NA,NA,0.595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61389,7.40095,7.78806,7.66015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.942
61401,7.67911,8.00206,7.60221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.901
61681,7.16569,8.7314,5.78,NA,NA,NA,NA,NA,NA,NA,NA,-0.172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61910,8.26295,9.97981,6.5293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.201,NA,NA,NA
62080,7.28977,8.04314,7.56018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.933,NA,NA,NA,NA,NA,NA,NA
62298,6.08301,9.02837,8.07185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.257,NA,NA,NA,NA,NA,NA,NA
62571,7.03169,10.0581,6.58485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.165,NA,NA,NA,NA,NA,NA,NA
62706,8.55411,9.58909,5.21914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.042,NA,NA,NA
62819,7.29567,8.95538,5.78858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.001,NA,NA,NA,NA,NA,NA
63171,6.80951,7.18026,6.77295,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.59,NA,NA,NA
63267,7.47073,8.60187,8.23939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.78,NA,NA,NA,NA,NA,NA,NA
63441,6.70172,7.83593,8.23243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.616,NA,NA,NA,NA
63772,7.4093,8.27264,7.80898,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9,NA,NA,NA,NA,NA,NA,NA
63851,7.96417,8.85501,7.83675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.769,NA,NA,NA
64100,7.72667,7.75748,6.31411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.406,NA,NA,NA,NA,NA,NA
64350,7.47482,8.07253,5.92773,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.382,NA,NA,NA,NA
64444,7.50674,6.99829,7.62844,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.881,NA,NA,NA
64711,6.65213,7.62054,7.87593,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.755,NA,NA,NA
64991,8.63515,7.70685,7.7085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.747,NA,NA,NA,NA,NA,NA,NA,NA
65133,7.36599,7.27482,7.9966,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.916,NA,NA,NA,NA,NA,NA,NA
65201,8.36882,6.44754,7.029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.375,NA,NA,NA,NA
65559,8.51956,5.88428,8.20082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.361,NA,NA,NA,NA,NA,NA,NA
65640,7.7001,7.10575,5.41633,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.436,NA,NA,NA
65942,7.79408,6.47315,6.86668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.472,NA,NA,NA,NA
66162,8.05984,7.64857,7.75976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86,NA,NA,NA,NA
66364,7.56811,9.11658,9.79739,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.275,NA,NA,NA,NA,NA,NA,NA
66489,8.44558,9.39829,9.18581,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.246,NA,NA,NA
66683,8.40849,9.72928,8.78014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.277,NA,NA,NA
66902,8.91504,7.9811,7.30751,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.726,NA,NA,NA,NA,NA,NA,NA
67040,8.70031,7.2634,8.00712,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.661,NA,NA,NA,NA
67387,7.23675,6.52979,8.92867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.33,NA,NA,NA,NA
67591,6.33237,7.71784,8.36932,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.531,NA,NA,NA
67700,5.5814,8.58431,7.71457,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.368,NA,NA,NA,NA,NA,NA,NA
67954,8.21312,7.62584,7.21855,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.89,NA,NA,NA
68185,7.95277,7.20269,7.37551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.677,NA,NA,NA,NA,NA,NA,NA,NA,NA
68336,8.03881,6.79566,7.42672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75,NA,NA,NA
68511,8.68518,7.32547,8.39459,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.51,NA,NA,NA,NA,NA,NA,NA,NA,NA
68696,9.12192,7.11562,7.58973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.509,NA,NA,NA,NA,NA,NA,NA,NA
68985,7.22664,8.20607,6.79715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.655,NA,NA,NA,NA,NA,NA,NA,NA
69077,6.78112,8.83808,8.26636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.54,NA,NA,NA,NA,NA,NA,NA
69204,8.68735,8.27504,7.88082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.746,NA,NA,NA,NA,NA,NA,NA
69429,9.27917,8.5326,6.96442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.351,NA,NA,NA,NA,NA,NA,NA,NA
